,layer,head,model_name,features,r2,mse,explained_variance_score,max_error,mean_absolute_percentage_error
17,7,0,Ridge,"emb_from, pos",0.0069815863547111,0.0024774476359474,0.0070705979737294,0.7172754121939431,113.65641706041114
18,7,0,Ridge,"emb_to, pos",0.3771781639839107,0.0015538568711835,0.3772672043751053,0.7006492278527923,43.91705815352184
19,7,0,Ridge,"emb_to, emb_from, pos",0.3742538580482544,0.0015611526219244,0.3743428982121679,0.6994653761898559,44.48546751404126
20,7,0,Ridge,"emb_to, pos, st_to, st_from",0.3774558376060911,0.001553164112772,0.3775448780188671,0.7011956571372979,43.77054581160807
21,7,0,Ridge,"pos, st_to, st_from",0.2131655404052351,0.0019630463494117,0.2132545680491481,0.7237765354764977,81.060388433302
22,7,0,Ridge,"pos, poly",0.0110719598647879,0.0024672427031452,0.0111609718017156,0.7167526008880156,111.88278157145729
23,7,0,Ridge,"emb_to, pos, st_to, st_from, poly",0.4135773828626516,0.0014630457064334,0.4136625197577372,0.6960556332888728,72.73999975184307
24,11,0,Ridge,pos,0.0361468509433722,0.0025320760884743,0.0361803286299758,0.45001687767924,32.50267924958234
25,11,0,Ridge,"emb_from, pos",0.0331940792835185,0.0025398331233732,0.0332275569715936,0.4547222975642881,32.80266335034264
26,11,0,Ridge,"emb_to, pos",0.8387917273523752,0.0004234997964522,0.8388252046389966,0.3111607752990953,12.178715333789432
27,11,0,Ridge,"emb_to, emb_from, pos",0.8387493797735041,0.0004236110450298,0.8387828570601465,0.3102420008602717,14.146721344587585
28,11,0,Ridge,"emb_to, pos, st_to, st_from",0.845988201493231,0.0004045944060291,0.8460216787762662,0.3100109356902971,11.83131208156191
29,11,0,Ridge,"pos, st_to, st_from",0.0725964716253575,0.0024363216542504,0.0726299492937969,0.4525456818254345,29.25672927210385
30,11,0,Ridge,"pos, poly",0.0361468509433722,0.0025320760884743,0.0361803286299758,0.45001687767924,32.50267924958234
31,11,0,Ridge,"emb_to, pos, st_to, st_from, poly",0.8363458714181597,0.0004299251459288,0.8363774599652333,0.3091709973085654,13.34799101751906
32,0,6,Ridge,pos,0.1049064872252735,0.0002291255681188,0.1049077228556696,0.4260487408001523,1.1219928033814797
33,0,6,Ridge,"emb_from, pos",0.0999308991083621,0.0002303992165564,0.0999321348443993,0.4261594316110441,1.1243065001919934
34,0,6,Ridge,"emb_to, pos",0.253425451500714,0.0001911077615094,0.2534266839777724,0.4177840929747045,0.8501655406799403
35,0,6,Ridge,"emb_to, emb_from, pos",0.249621171349225,0.0001920815791481,0.2496224039070558,0.4179837605343731,0.8527116642610174
36,0,6,Ridge,"emb_to, pos, st_to, st_from",0.2535552346130384,0.0001910745396963,0.2535564670873416,0.4180143951279356,0.847911184468328
37,0,6,Ridge,"pos, st_to, st_from",0.1104640489074192,0.0002277029463932,0.1104652844198176,0.4225114373676741,1.119014812818823
38,0,6,Ridge,"pos, poly",0.1049064872252735,0.0002291255681188,0.1049077228556696,0.4260487408001523,1.1219928033814797
39,0,6,Ridge,"emb_to, pos, st_to, st_from, poly",0.2667810886554198,0.0001876889925127,0.2667812959723619,0.4079772203635012,0.8451149221165274
40,3,6,Ridge,pos,0.0184662387620696,0.0011357105441049,0.0184939457615826,0.5403379620594956,8.032928681067181
41,3,6,Ridge,"emb_from, pos",0.0126053143152784,0.0011424920873949,0.0126330217359702,0.5401710707754479,8.101226250922187
42,3,6,Ridge,"emb_to, pos",0.5905439320719631,0.0004737723673479,0.5905715979606982,0.5316561968354117,3.090634952289157
